Topics,Alpha,Beta,Coherence
9,asymmetric,0.31,0.33306279529196947
9,asymmetric,0.61,0.37479056203163824
9,asymmetric,0.9099999999999999,0.404629696868972
9,asymmetric,symmetric,0.29862235907295864
10,0.01,0.01,0.3358366258902239
10,0.01,0.31,0.3450925958347525
10,0.01,0.61,0.3930305241733313
10,0.01,0.9099999999999999,0.39091613905458766
10,0.01,symmetric,0.35814979586704504
10,0.31,0.01,0.35096476332462406
10,0.31,0.31,0.3895419459496659
10,0.31,0.61,0.39267445388916355
10,0.31,0.9099999999999999,0.3791337720055202
10,0.31,symmetric,0.34555877986253786
10,0.61,0.01,0.3499420205175155
10,0.61,0.31,0.3625774302845885
10,0.61,0.61,0.3887013631625843
10,0.61,0.9099999999999999,0.3739011307765143
10,0.61,symmetric,0.3373836849883407
10,0.9099999999999999,0.01,0.3524530928577881
10,0.9099999999999999,0.31,0.34209433438385917
10,0.9099999999999999,0.61,0.36737699560983283
10,0.9099999999999999,0.9099999999999999,0.37047472355945005
10,0.9099999999999999,symmetric,0.33972989160306993
10,symmetric,0.01,0.3385817735383454
10,symmetric,0.31,0.3375206472464231
10,symmetric,0.61,0.3757450382432347
10,symmetric,0.9099999999999999,0.3708477066188149
10,symmetric,symmetric,0.316058704034916
10,asymmetric,0.01,0.336359256986731
10,asymmetric,0.31,0.28219015017156235
10,asymmetric,0.61,0.37272838474998105
10,asymmetric,0.9099999999999999,0.3879093212353175
10,asymmetric,symmetric,0.30812966583103424
11,0.01,0.01,0.35172853475909294
11,0.01,0.31,0.33323787107363484
11,0.01,0.61,0.40400268652125354
11,0.01,0.9099999999999999,0.4284616356394384
11,0.01,symmetric,0.3524168962953589
11,0.31,0.01,0.3407614523816322
11,0.31,0.31,0.3726554904001382
11,0.31,0.61,0.35706238232275106
11,0.31,0.9099999999999999,0.3762466765488575
11,0.31,symmetric,0.35452873882745295
11,0.61,0.01,0.3421408566744367
11,0.61,0.31,0.3418776782637171
11,0.61,0.61,0.3629049446938657
11,0.61,0.9099999999999999,0.37015818819192126
11,0.61,symmetric,0.3421537279058618
11,0.9099999999999999,0.01,0.35184348639604074
11,0.9099999999999999,0.31,0.36440021025387653
11,0.9099999999999999,0.61,0.34808677149664696
11,0.9099999999999999,0.9099999999999999,0.3520691006933615
11,0.9099999999999999,symmetric,0.3414671778334048
11,symmetric,0.01,0.3556655057168459
11,symmetric,0.31,0.39604487056598087
11,symmetric,0.61,0.3255274393621122
11,symmetric,0.9099999999999999,0.4187817199866341
11,symmetric,symmetric,0.3372303307726004
11,asymmetric,0.01,0.33834985720520233
11,asymmetric,0.31,0.37514908625890714
11,asymmetric,0.61,0.36898136143229654
11,asymmetric,0.9099999999999999,0.37895423909981507
11,asymmetric,symmetric,0.3261331558808458
