Topics,Alpha,Beta,Coherence
9,symmetric,1.5,0.4035117691624822
9,symmetric,10,0.5791701118404179
9,symmetric,symmetric,0.37325558893945826
9,asymmetric,0.05,0.3703957688898038
9,asymmetric,0.1,0.3519917189499396
9,asymmetric,0.5,0.317611266207464
9,asymmetric,1.5,0.42222004932883944
9,asymmetric,10,0.43570561812982167
9,asymmetric,symmetric,0.3628321212834481
10,0.05,0.05,0.36141707823059244
10,0.05,0.1,0.37195181127086663
10,0.05,0.5,0.3884077242153527
10,0.05,1.5,0.38137881259707473
10,0.05,10,0.5025495500539603
10,0.05,symmetric,0.38564913729967615
10,0.1,0.05,0.35639584034528693
10,0.1,0.1,0.37033161885498095
10,0.1,0.5,0.3640963836915991
10,0.1,1.5,0.3762128448212673
10,0.1,10,0.5731482590575535
10,0.1,symmetric,0.36153004830258856
10,0.5,0.05,0.37886069596043104
10,0.5,0.1,0.3877566988357609
10,0.5,0.5,0.36960679968380417
10,0.5,1.5,0.3732449855176481
10,0.5,10,0.4354676029394155
10,0.5,symmetric,0.38845361992966093
10,1.5,0.05,0.3448654225436625
10,1.5,0.1,0.3211098489547076
10,1.5,0.5,0.3424568416144208
10,1.5,1.5,0.34490935277743817
10,1.5,10,0.3427527694291216
10,1.5,symmetric,0.333063189455589
10,10,0.05,0.19820218179649862
10,10,0.1,0.22076370815275373
10,10,0.5,0.20406861471137344
10,10,1.5,0.25617407394973013
10,10,10,0.25294179115234133
10,10,symmetric,0.18311579296927988
10,symmetric,0.05,0.35128578209206507
10,symmetric,0.1,0.3518967232603672
10,symmetric,0.5,0.38181567157280816
10,symmetric,1.5,0.36064068342206435
10,symmetric,10,0.5471372979052197
10,symmetric,symmetric,0.3692240696113499
10,asymmetric,0.05,0.32562401820336556
10,asymmetric,0.1,0.3505057172842219
10,asymmetric,0.5,0.37042890246157106
10,asymmetric,1.5,0.3667398770595493
10,asymmetric,10,0.4659054352232045
10,asymmetric,symmetric,0.35888467565871285
11,0.05,0.05,0.3393577733013477
11,0.05,0.1,0.3370384672066511
11,0.05,0.5,0.3857947035172199
11,0.05,1.5,0.41457077342308063
11,0.05,10,0.4754016829220925
11,0.05,symmetric,0.32140770458031626
11,0.1,0.05,0.3515436116519701
11,0.1,0.1,0.3206515254327226
11,0.1,0.5,0.32672395842436225
11,0.1,1.5,0.40827540792067524
11,0.1,10,0.5697442204675087
11,0.1,symmetric,0.33432747724594375
11,0.5,0.05,0.3415290334688977
11,0.5,0.1,0.34124673966916297
11,0.5,0.5,0.3629576576154695
11,0.5,1.5,0.350197065365798
11,0.5,10,0.5029947188556615
11,0.5,symmetric,0.3448550308645761
11,1.5,0.05,0.34199917762093723
11,1.5,0.1,0.32652621886337674
11,1.5,0.5,0.35003719410970624
11,1.5,1.5,0.3240208638158826
11,1.5,10,0.32254025371096134
11,1.5,symmetric,0.3179697983272912
11,10,0.05,0.2026862189696459
11,10,0.1,0.21726438259888753
11,10,0.5,0.2056907645030948
11,10,1.5,0.24852232683863687
11,10,10,0.26853104847290976
11,10,symmetric,0.2275880413387429
11,symmetric,0.05,0.3606939404622487
11,symmetric,0.1,0.3319040621913448
11,symmetric,0.5,0.37644157072413226
11,symmetric,1.5,0.41480342888181715
11,symmetric,10,0.5433833374061499
11,symmetric,symmetric,0.3412441788271457
11,asymmetric,0.05,0.3704518413422892
11,asymmetric,0.1,0.37871941069147735
11,asymmetric,0.5,0.3748770580216148
11,asymmetric,1.5,0.43725675994525426
11,asymmetric,10,0.48875576392712483
11,asymmetric,symmetric,0.37783974349872784
